example,state,pop,density,days,cases,deaths
135,Iowa,3179849.000,56.930,26.000,614.000,11.000
136,Nevada,3139658.000,28.600,29.000,1458.000,38.000
137,Arkansas,3038999.000,58.400,23.000,683.000,12.000
138,Puerto Rico,3032165.000,876.600,21.000,316.000,12.000
139,Mississippi,2989260.000,63.710,23.000,1177.000,26.000
140,Kansas,2910357.000,35.600,27.000,552.000,13.000
141,New Mexico,2096640.000,17.290,23.000,403.000,7.000
142,Nebraska,1952570.000,25.420,28.000,246.000,5.000
143,Idaho,1826156.000,22.100,21.000,891.000,9.000
144,West Virginia,1778070.000,73.970,17.000,217.000,2.000
145,Hawaii,1412687.000,219.940,28.000,285.000,1.000
146,New Hampshire,1371246.000,153.160,32.000,479.000,5.000
147,Maine,1345790.000,43.630,22.000,376.000,7.000
148,Montana,1086759.000,7.470,23.000,241.000,6.000
149,Rhode Island,1056161.000,1021.430,33.000,657.000,12.000
150,Delaware,982895.000,504.310,23.000,393.000,12.000
151,South Dakota,903027.000,11.910,24.000,165.000,2.000
152,North Dakota,761723.000,11.040,23.000,159.000,3.000
153,Alaska,734002.000,1.290,22.000,151.000,3.000
154,District of Columbia,720687.000,11814.540,27.000,653.000,12.000
155,Vermont,628061.000,68.140,26.000,338.000,17.000
156,Wyoming,567025.000,5.840,23.000,150.000,0.000
157,California,39937489.000,256.370,69.000,12267.000,275.000
158,Texas,29472295.000,112.820,31.000,5658.000,97.000
159,Florida,21992985.000,410.130,34.000,10268.000,170.000
160,New York,19440469.000,412.520,34.000,103476.000,3218.000
161,Pennsylvania,12820878.000,286.540,29.000,8420.000,102.000
162,Illinois,12659682.000,228.020,71.000,8904.000,210.000
163,Ohio,11747694.000,287.500,26.000,3312.000,91.000
164,Georgia,10736059.000,186.670,33.000,5967.000,198.000
165,North Carolina,10611862.000,218.270,32.000,2287.000,27.000
166,Michigan,10045029.000,177.670,25.000,12744.000,479.000
167,New Jersey,8936574.000,1215.200,31.000,29895.000,646.000
168,Virginia,8626207.000,218.440,28.000,2012.000,46.000
169,Washington,7797095.000,117.330,74.000,6966.000,291.000
170,Arizona,7378494.000,64.960,68.000,1769.000,41.000
171,Massachusetts,6976597.000,894.440,63.000,10402.000,192.000
172,Tennessee,6897576.000,167.270,30.000,3194.000,37.000
173,Indiana,6745354.000,188.280,29.000,3437.000,102.000
174,Missouri,6169270.000,89.750,28.000,2113.000,31.000
175,Maryland,6083116.000,626.670,30.000,2758.000,42.000
176,Wisconsin,5851754.000,108.050,59.000,1916.000,46.000
177,Colorado,5845526.000,56.400,30.000,4173.000,111.000
178,Minnesota,5700671.000,71.590,29.000,789.000,22.000
179,South Carolina,5210095.000,173.320,28.000,1700.000,34.000
180,Alabama,4908621.000,96.920,22.000,1515.000,38.000
181,Louisiana,4645184.000,107.520,26.000,10297.000,370.000
182,Kentucky,4499692.000,113.960,29.000,831.000,37.000
183,Oregon,4301089.000,44.810,36.000,899.000,22.000
184,Oklahoma,3954821.000,57.650,29.000,988.000,38.000
185,Connecticut,3563077.000,735.870,27.000,4914.000,131.000
186,Utah,3282115.000,39.940,29.000,1246.000,7.000
187,Iowa,3179849.000,56.930,27.000,699.000,11.000
188,Nevada,3139658.000,28.600,30.000,1514.000,43.000
189,Arkansas,3038999.000,58.400,24.000,738.000,12.000
190,Puerto Rico,3032165.000,876.600,22.000,378.000,15.000
191,Mississippi,2989260.000,63.710,24.000,1358.000,29.000
192,Kansas,2910357.000,35.600,28.000,620.000,17.000
193,New Mexico,2096640.000,17.290,24.000,495.000,10.000
194,Nebraska,1952570.000,25.420,29.000,279.000,6.000
195,Idaho,1826156.000,22.100,22.000,1013.000,10.000
196,West Virginia,1778070.000,73.970,18.000,237.000,2.000
197,Hawaii,1412687.000,219.940,29.000,319.000,3.000
198,New Hampshire,1371246.000,153.160,33.000,540.000,7.000
199,Maine,1345790.000,43.630,23.000,432.000,9.000
200,Montana,1086759.000,7.470,24.000,262.000,6.000
201,Rhode Island,1056161.000,1021.430,34.000,711.000,14.000
202,Delaware,982895.000,504.310,24.000,450.000,14.000
203,South Dakota,903027.000,11.910,25.000,187.000,2.000
204,North Dakota,761723.000,11.040,24.000,173.000,3.000
205,Alaska,734002.000,1.290,23.000,151.000,3.000
206,District of Columbia,720687.000,11814.540,28.000,757.000,15.000
207,Vermont,628061.000,68.140,27.000,389.000,17.000
208,Wyoming,567025.000,5.840,24.000,166.000,0.000
209,California,39937489.000,256.370,70.000,13927.000,321.000
210,Texas,29472295.000,112.820,32.000,6359.000,111.000
211,Florida,21992985.000,410.130,35.000,11545.000,195.000
212,New York,19440469.000,412.520,35.000,114775.000,3565.000
213,Pennsylvania,12820878.000,286.540,30.000,10415.000,136.000
214,Illinois,12659682.000,228.020,72.000,10357.000,243.000
215,Ohio,11747694.000,287.500,27.000,3739.000,102.000
216,Georgia,10736059.000,186.670,34.000,6383.000,208.000
217,North Carolina,10611862.000,218.270,33.000,2509.000,33.000
218,Michigan,10045029.000,177.670,26.000,14225.000,540.000
